My Spark params as displayed in Assistant	My Default Value	< dif >	wm100 v3.2.34.25 (from cfg file)	< dif >	wm100 v3.2.37.20 (from cfg file)
R_RC_START_STOP_MOTOR	0		R_RC_START_STOP_MOTOR		R_RC_START_STOP_MOTOR
R_RC_FARM_FRONT	0		R_RC_FARM_FRONT		R_RC_FARM_FRONT
R_RC_FARM_BACK	0		R_RC_FARM_BACK		R_RC_FARM_BACK
R_RC_CAMERA	0		R_RC_CAMERA		R_RC_CAMERA
rc_type	1		rc_type		rc_type
g_config_rc_cfg_start_motor_verify_time_ms	200		g_config_rc_cfg_start_motor_verify_time_ms		g_config_rc_cfg_start_motor_verify_time_ms
g_config_rc_cfg_stop_motor_verify_time_ms	1500		g_config_rc_cfg_stop_motor_verify_time_ms		g_config_rc_cfg_stop_motor_verify_time_ms
g_config_rc_cfg_emergency_stop_verify_time_ms	200		g_config_rc_cfg_emergency_stop_verify_time_ms		g_config_rc_cfg_emergency_stop_verify_time_ms
g_config_rc_cfg_arm_action_enable	1		g_config_rc_cfg_arm_action_enable		g_config_rc_cfg_arm_action_enable
g_config_rc_cfg_emergency_enable	0		g_config_rc_cfg_emergency_enable		g_config_rc_cfg_emergency_enable
g_config_rc_cfg_check_err_before_stop	1		g_config_rc_cfg_check_err_before_stop		g_config_rc_cfg_check_err_before_stop
g_config_rc_cfg_urgent_mode_enable_flg	1		g_config_rc_cfg_urgent_mode_enable_flg		g_config_rc_cfg_urgent_mode_enable_flg
g_config_rc_cfg_urgent_mode_mapper[0]	3		g_config_rc_cfg_urgent_mode_mapper[0]		g_config_rc_cfg_urgent_mode_mapper[0]
g_config_rc_cfg_urgent_mode_mapper[1]	3		g_config_rc_cfg_urgent_mode_mapper[1]		g_config_rc_cfg_urgent_mode_mapper[1]
g_config_rc_cfg_urgent_mode_mapper[2]	0		g_config_rc_cfg_urgent_mode_mapper[2]		g_config_rc_cfg_urgent_mode_mapper[2]
knob_basic_roll	6		knob_basic_roll		knob_basic_roll
knob_basic_pitch	6		knob_basic_pitch		knob_basic_pitch
knob_basic_yaw	6		knob_basic_yaw		knob_basic_yaw
knob_basic_thrust	6		knob_basic_thrust		knob_basic_thrust
g_config_rc_cfg_knob_control_channel[KNOB_ATTI_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_GAIN]
g_config_rc_cfg_knob_control_channel[KNOB_GYRO_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_GYRO_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_GYRO_GAIN]
g_config_rc_cfg_knob_control_channel[KNOB_ATTI_HORIZ_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_HORIZ_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_HORIZ_GAIN]
g_config_rc_cfg_knob_control_channel[KNOB_ATTI_VERT_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_VERT_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_VERT_GAIN]
g_config_rc_cfg_knob_control_channel[KNOB_ATTI_RANGE_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_RANGE_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_RANGE_GAIN]
g_config_rc_cfg_knob_control_channel[KNOB_ATTI_VERT_UP_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_VERT_UP_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_ATTI_VERT_UP_GAIN]
g_config_rc_cfg_knob_control_channel[KNOB_BRAKE_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_BRAKE_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_BRAKE_GAIN]
g_config_rc_cfg_knob_control_channel[KNOB_TILT_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_TILT_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_TILT_GAIN]
g_config_rc_cfg_knob_control_channel[KNOB_HORIZ_POS_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_HORIZ_POS_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_HORIZ_POS_GAIN]
g_config_rc_cfg_knob_control_channel[KNOB_HORIZ_VEL_GAIN]	6		g_config_rc_cfg_knob_control_channel[KNOB_HORIZ_VEL_GAIN]		g_config_rc_cfg_knob_control_channel[KNOB_HORIZ_VEL_GAIN]
g_config_wristband_cfg_tilt_scale	1		g_config_wristband_cfg_tilt_scale		g_config_wristband_cfg_tilt_scale
g_config_wristband_cfg_torsion_scale	1		g_config_wristband_cfg_torsion_scale		g_config_wristband_cfg_torsion_scale
g_config_wristband_cfg_throttle_scale	1		g_config_wristband_cfg_throttle_scale		g_config_wristband_cfg_throttle_scale
g_config_wristband_cfg_cmd_enable	1		g_config_wristband_cfg_cmd_enable		g_config_wristband_cfg_cmd_enable
g_config_wristband_cfg_input_enable	1		g_config_wristband_cfg_input_enable		g_config_wristband_cfg_input_enable
g_config_wristband_cfg_auto_set_hp_enable	0		g_config_wristband_cfg_auto_set_hp_enable		g_config_wristband_cfg_auto_set_hp_enable
g_config_wristband_cfg_limit_enable	0		g_config_wristband_cfg_limit_enable		g_config_wristband_cfg_limit_enable
g_config_wristband_cfg_hp_gps_level	4		g_config_wristband_cfg_hp_gps_level		g_config_wristband_cfg_hp_gps_level
g_config_ctrldev_cfg_rc_scale	1		g_config_ctrldev_cfg_rc_scale		g_config_ctrldev_cfg_rc_scale
g_config_ctrldev_cfg_wristband_scale	0.25		g_config_ctrldev_cfg_wristband_scale		g_config_ctrldev_cfg_wristband_scale
g_config_ctrldev_cfg_rc_cmd_enable	1		g_config_ctrldev_cfg_rc_cmd_enable		g_config_ctrldev_cfg_rc_cmd_enable
g_config_ctrldev_cfg_rc_input_enable	1		g_config_ctrldev_cfg_rc_input_enable		g_config_ctrldev_cfg_rc_input_enable
g_config_ctrldev_cfg_rc_lost_enable	0		g_config_ctrldev_cfg_rc_lost_enable		g_config_ctrldev_cfg_rc_lost_enable
g_config_ctrldev_cfg_wristband_cmd_enable	1		g_config_ctrldev_cfg_wristband_cmd_enable		g_config_ctrldev_cfg_wristband_cmd_enable
g_config_ctrldev_cfg_wristband_input_enable	1		g_config_ctrldev_cfg_wristband_input_enable		g_config_ctrldev_cfg_wristband_input_enable
g_config_ctrldev_cfg_wristband_lost_enable	0		g_config_ctrldev_cfg_wristband_lost_enable		g_config_ctrldev_cfg_wristband_lost_enable
g_config_avoid_cfg_avoid_config_enable	1		g_config_avoid_cfg_avoid_config_enable		g_config_avoid_cfg_avoid_config_enable
g_config_avoid_cfg_avoid_rc_scale	0.550000011920929		g_config_avoid_cfg_avoid_rc_scale		g_config_avoid_cfg_avoid_rc_scale
g_config_avoid_cfg_avoid_atti_range	15		g_config_avoid_cfg_avoid_atti_range		g_config_avoid_cfg_avoid_atti_range
g_config_avoid_cfg_avoid_tors_rate_range	70		g_config_avoid_cfg_avoid_tors_rate_range		g_config_avoid_cfg_avoid_tors_rate_range
multi_mixer_type	1		multi_mixer_type		multi_mixer_type
g_config_mr_craft_rotor_4_cfg_mass	1.20000004768372		g_config_mr_craft_rotor_4_cfg_mass		g_config_mr_craft_rotor_4_cfg_mass
g_config_mr_craft_rotor_4_cfg_inertia_x	0.0120000001043081		g_config_mr_craft_rotor_4_cfg_inertia_x		g_config_mr_craft_rotor_4_cfg_inertia_x
g_config_mr_craft_rotor_4_cfg_inertia_y	0.0120000001043081		g_config_mr_craft_rotor_4_cfg_inertia_y		g_config_mr_craft_rotor_4_cfg_inertia_y
g_config_mr_craft_rotor_4_cfg_inertia_z	0.0240000002086163		g_config_mr_craft_rotor_4_cfg_inertia_z		g_config_mr_craft_rotor_4_cfg_inertia_z
g_config_mr_craft_rotor_4_cfg_l	0.224999994039536		g_config_mr_craft_rotor_4_cfg_l		g_config_mr_craft_rotor_4_cfg_l
g_config_mr_craft_rotor_4_cfg_thrust	6.82999992370605		g_config_mr_craft_rotor_4_cfg_thrust		g_config_mr_craft_rotor_4_cfg_thrust
g_config_mr_craft_rotor_6_cfg_mass	1.79999995231628		g_config_mr_craft_rotor_6_cfg_mass		g_config_mr_craft_rotor_6_cfg_mass
g_config_mr_craft_rotor_6_cfg_inertia_x	0.025000000372529		g_config_mr_craft_rotor_6_cfg_inertia_x		g_config_mr_craft_rotor_6_cfg_inertia_x
g_config_mr_craft_rotor_6_cfg_inertia_y	0.025000000372529		g_config_mr_craft_rotor_6_cfg_inertia_y		g_config_mr_craft_rotor_6_cfg_inertia_y
g_config_mr_craft_rotor_6_cfg_inertia_z	0.0500000007450581		g_config_mr_craft_rotor_6_cfg_inertia_z		g_config_mr_craft_rotor_6_cfg_inertia_z
g_config_mr_craft_rotor_6_cfg_l	0.275000005960464		g_config_mr_craft_rotor_6_cfg_l		g_config_mr_craft_rotor_6_cfg_l
g_config_mr_craft_rotor_6_cfg_thrust	6.82999992370605		g_config_mr_craft_rotor_6_cfg_thrust		g_config_mr_craft_rotor_6_cfg_thrust
g_config_mr_craft_rotor_8_cfg_mass	2.40000009536743		g_config_mr_craft_rotor_8_cfg_mass		g_config_mr_craft_rotor_8_cfg_mass
g_config_mr_craft_rotor_8_cfg_inertia_x	0.0500000007450581		g_config_mr_craft_rotor_8_cfg_inertia_x		g_config_mr_craft_rotor_8_cfg_inertia_x
g_config_mr_craft_rotor_8_cfg_inertia_y	0.0500000007450581		g_config_mr_craft_rotor_8_cfg_inertia_y		g_config_mr_craft_rotor_8_cfg_inertia_y
g_config_mr_craft_rotor_8_cfg_inertia_z	0.100000001490116		g_config_mr_craft_rotor_8_cfg_inertia_z		g_config_mr_craft_rotor_8_cfg_inertia_z
g_config_mr_craft_rotor_8_cfg_l	0.324999988079071		g_config_mr_craft_rotor_8_cfg_l		g_config_mr_craft_rotor_8_cfg_l
g_config_mr_craft_rotor_8_cfg_thrust	6.82999992370605		g_config_mr_craft_rotor_8_cfg_thrust		g_config_mr_craft_rotor_8_cfg_thrust
g_config_takeoff_auto_takeoff_height	1.20000004768372		g_config_takeoff_auto_takeoff_height		g_config_takeoff_auto_takeoff_height
g_config_takeoff_auto_takeoff_vel	0.5		g_config_takeoff_auto_takeoff_vel		g_config_takeoff_auto_takeoff_vel
g_config_takeoff_auto_takeoff_timeout	5		g_config_takeoff_auto_takeoff_timeout		g_config_takeoff_auto_takeoff_timeout
g_config_takeoff_auto_assist_takeoff_enable	1		g_config_takeoff_auto_assist_takeoff_enable		g_config_takeoff_auto_assist_takeoff_enable
g_config_takeoff_auto_assist_takeoff_vel	0.5		g_config_takeoff_auto_assist_takeoff_vel		g_config_takeoff_auto_assist_takeoff_vel
g_config_takeoff_auto_assist_takeoff_exit_timer	1.20000004768372		g_config_takeoff_auto_assist_takeoff_exit_timer		g_config_takeoff_auto_assist_takeoff_exit_timer
g_config_takeoff_auto_assist_takeoff_timeout	3		g_config_takeoff_auto_assist_takeoff_timeout		g_config_takeoff_auto_assist_takeoff_timeout
go_home_height	30		go_home_height		go_home_height
go_home_heading	1		go_home_heading		go_home_heading
g_config_go_home_avoid_ascending_height_limit_disable	0		g_config_go_home_avoid_ascending_height_limit_disable		g_config_go_home_avoid_ascending_height_limit_disable
g_config_go_home_cur_height_gohome_enable	1		g_config_go_home_cur_height_gohome_enable		g_config_go_home_cur_height_gohome_enable
g_config_go_home_cur_height_gohome_dis	20		g_config_go_home_cur_height_gohome_dis		g_config_go_home_cur_height_gohome_dis
				< * >	g_config_go_home_go_home_yaw_realign_enable
g_config_intelligence_orientation_app_ioc_type	1		g_config_intelligence_orientation_app_ioc_type		g_config_intelligence_orientation_app_ioc_type
g_config_intelligence_orientation_control_mode[0]	0		g_config_intelligence_orientation_control_mode[0]		g_config_intelligence_orientation_control_mode[0]
g_config_intelligence_orientation_control_mode[1]	1		g_config_intelligence_orientation_control_mode[1]		g_config_intelligence_orientation_control_mode[1]
g_config_intelligence_orientation_control_mode[2]	3		g_config_intelligence_orientation_control_mode[2]		g_config_intelligence_orientation_control_mode[2]
g_config_intelligence_orientation_watch_rc_scale	0.5		g_config_intelligence_orientation_watch_rc_scale		g_config_intelligence_orientation_watch_rc_scale
tempvar_switch_gear	0		tempvar_switch_gear		tempvar_switch_gear
vibrate_detect_en	0		vibrate_detect_en		vibrate_detect_en
fly_limit_distance	5000		fly_limit_distance		fly_limit_distance
fly_limit_height	120		fly_limit_height		fly_limit_height
g_config_flying_limit_height_limit_enabled	1		g_config_flying_limit_height_limit_enabled	< * >	
g_config_flying_limit_radius_limit_enabled	0		g_config_flying_limit_radius_limit_enabled		g_config_flying_limit_radius_limit_enabled
g_config_flying_limit_avoid_ground_enabled	1		g_config_flying_limit_avoid_ground_enabled		g_config_flying_limit_avoid_ground_enabled
g_config_flying_limit_real_name_limit_enable	0		g_config_flying_limit_real_name_limit_enable	< * >	
g_config_flying_limit_min_height_auto	20		g_config_flying_limit_min_height_auto		g_config_flying_limit_min_height_auto
g_config_flying_limit_min_height_user	3		g_config_flying_limit_min_height_user		g_config_flying_limit_min_height_user
g_config_flying_limit_user_avoid_ground_enable	1		g_config_flying_limit_user_avoid_ground_enable		g_config_flying_limit_user_avoid_ground_enable
g_config_flying_limit_avoid_ground_and_smart_landing_enable	1		g_config_flying_limit_avoid_ground_and_smart_landing_enable		g_config_flying_limit_avoid_ground_and_smart_landing_enable
g_config_flying_limit_hit_ground_enable	0		g_config_flying_limit_hit_ground_enable		g_config_flying_limit_hit_ground_enable
g_config_flying_limit_course_unaligned_limit_enable	1		g_config_flying_limit_course_unaligned_limit_enable		g_config_flying_limit_course_unaligned_limit_enable
g_config_flying_limit_limit_height_rel	5		g_config_flying_limit_limit_height_rel		g_config_flying_limit_limit_height_rel
g_config_flying_limit_limit_height_abs	50		g_config_flying_limit_limit_height_abs		g_config_flying_limit_limit_height_abs
g_config_flying_limit_limit_height_abs_without_gps	30		g_config_flying_limit_limit_height_abs_without_gps		g_config_flying_limit_limit_height_abs_without_gps
g_config_flying_limit_noe_low_limit_gain	3		g_config_flying_limit_noe_low_limit_gain		g_config_flying_limit_noe_low_limit_gain
g_cfg_debug_rel_height_limit_enable	1		g_cfg_debug_rel_height_limit_enable	< * >	
g_config_flying_limit_roof_limit_enable	1		g_config_flying_limit_roof_limit_enable		g_config_flying_limit_roof_limit_enable
g_config_flying_limit_ground_limit_enable	1		g_config_flying_limit_ground_limit_enable		g_config_flying_limit_ground_limit_enable
g_config_engine_idle_level	10		g_config_engine_idle_level		g_config_engine_idle_level
g_config_engine_adding_level	15		g_config_engine_adding_level		g_config_engine_adding_level
g_config_engine_idle_time	1.5		g_config_engine_idle_time		g_config_engine_idle_time
g_config_engine_prop_auto_preload	1		g_config_engine_prop_auto_preload		g_config_engine_prop_auto_preload
g_config_engine_sequence_start_en	0		g_config_engine_sequence_start_en		g_config_engine_sequence_start_en
g_config_engine_sequence_start_dt	1		g_config_engine_sequence_start_dt		g_config_engine_sequence_start_dt
g_config_avoid_obstacle_limit_cfg_avoid_obstacle_enable	1		g_config_avoid_obstacle_limit_cfg_avoid_obstacle_enable		g_config_avoid_obstacle_limit_cfg_avoid_obstacle_enable
g_config_waypoint_cfg_enable_mode	1		g_config_waypoint_cfg_enable_mode		g_config_waypoint_cfg_enable_mode
g_config_misc_cfg_vps_func_en	1		g_config_misc_cfg_vps_func_en		g_config_misc_cfg_vps_func_en
g_config_misc_cfg_follow_gimbal_yaw_en	0		g_config_misc_cfg_follow_gimbal_yaw_en		g_config_misc_cfg_follow_gimbal_yaw_en
g_config_misc_cfg_follow_gimbal_yaw_sport	0		g_config_misc_cfg_follow_gimbal_yaw_sport		g_config_misc_cfg_follow_gimbal_yaw_sport
g_config_misc_cfg_follow_gimbal_yaw_with_offset_en	0		g_config_misc_cfg_follow_gimbal_yaw_with_offset_en		g_config_misc_cfg_follow_gimbal_yaw_with_offset_en
g_cfg_debug_follow_gimbal_yaw_when_watch	0		g_cfg_debug_follow_gimbal_yaw_when_watch	< * >	
				< * >	g_config_misc_cfg_follow_gimbal_yaw_when_watch
g_config_misc_cfg_quick_circle_auto_en	0		g_config_misc_cfg_quick_circle_auto_en		g_config_misc_cfg_quick_circle_auto_en
g_config_misc_cfg_quick_circle_manual_en	1		g_config_misc_cfg_quick_circle_manual_en		g_config_misc_cfg_quick_circle_manual_en
g_config_misc_cfg_quick_circle_enable	0		g_config_misc_cfg_quick_circle_enable		g_config_misc_cfg_quick_circle_enable
g_config_misc_cfg_quick_circle_tors_rate_limit	250		g_config_misc_cfg_quick_circle_tors_rate_limit		g_config_misc_cfg_quick_circle_tors_rate_limit
g_config_misc_cfg_gimbal_priority_en	0		g_config_misc_cfg_gimbal_priority_en		g_config_misc_cfg_gimbal_priority_en
g_config_misc_cfg_gimbal_tilt_max	-5		g_config_misc_cfg_gimbal_tilt_max		g_config_misc_cfg_gimbal_tilt_max
g_config_misc_cfg_gimbal_priority_flight_tilt	30		g_config_misc_cfg_gimbal_priority_flight_tilt		g_config_misc_cfg_gimbal_priority_flight_tilt
g_config_misc_cfg_gimbal_atti_limit_en	1		g_config_misc_cfg_gimbal_atti_limit_en		g_config_misc_cfg_gimbal_atti_limit_en
g_config_misc_cfg_gimbal_atti_limit_max	15		g_config_misc_cfg_gimbal_atti_limit_max		g_config_misc_cfg_gimbal_atti_limit_max
g_config_misc_cfg_fix_wind_mode_enable	0		g_config_misc_cfg_fix_wind_mode_enable		g_config_misc_cfg_fix_wind_mode_enable
g_config_misc_cfg_rc_pause_emergency_brake_enable	1		g_config_misc_cfg_rc_pause_emergency_brake_enable		g_config_misc_cfg_rc_pause_emergency_brake_enable
battery_type	1		battery_type		battery_type
dji_bat_level_1	30		dji_bat_level_1		dji_bat_level_1
dji_bat_level_2	10		dji_bat_level_2		dji_bat_level_2
bat_cap_v1_prot_type	0		bat_cap_v1_prot_type		bat_cap_v1_prot_type
bat_cap_v2_prot_type	2		bat_cap_v2_prot_type		bat_cap_v2_prot_type
raw_battery_cell_num	3		raw_battery_cell_num		raw_battery_cell_num
raw_bat_level_1	3800		raw_bat_level_1		raw_bat_level_1
raw_bat_level_2	3600		raw_bat_level_2		raw_bat_level_2
bat_level_1_action	2		bat_level_1_action		bat_level_1_action
bat_level_2_action	2		bat_level_2_action		bat_level_2_action
smart_bat_basic_cap	10		smart_bat_basic_cap		smart_bat_basic_cap
g_config_bat_config_level1_smart_battert_gohome	15		g_config_bat_config_level1_smart_battert_gohome		g_config_bat_config_level1_smart_battert_gohome
g_config_bat_config_level2_smart_battert_land	10		g_config_bat_config_level2_smart_battert_land		g_config_bat_config_level2_smart_battert_land
enable_multiple_mode	1		enable_multiple_mode		enable_multiple_mode
fswitch_selection	3		fswitch_selection		fswitch_selection
g_config_control_control_mode[1]	8		g_config_control_control_mode[1]		g_config_control_control_mode[1]
g_config_control_control_mode[2]	7		g_config_control_control_mode[2]		g_config_control_control_mode[2]
g_config_control_default_power_up_control_mode	7		g_config_control_default_power_up_control_mode		g_config_control_default_power_up_control_mode
multi_esc_type	0		multi_esc_type		multi_esc_type
g_config_esc_cfg_communicate_check	1		g_config_esc_cfg_communicate_check		g_config_esc_cfg_communicate_check
g_config_esc_cfg_min_speed	1100		g_config_esc_cfg_min_speed		g_config_esc_cfg_min_speed
g_config_esc_cfg_re_encorder_enable	0		g_config_esc_cfg_re_encorder_enable		g_config_esc_cfg_re_encorder_enable
g_config_api_entry_cfg_hw_port	0		g_config_api_entry_cfg_hw_port		g_config_api_entry_cfg_hw_port
sdk_baud	230400		sdk_baud		sdk_baud
sdk_enable	1		sdk_enable		sdk_enable
sdk_enable_1860	1		sdk_enable_1860		sdk_enable_1860
enable_sdk_lost_strategy	0		enable_sdk_lost_strategy		enable_sdk_lost_strategy
sdk_lost_strategy	0		sdk_lost_strategy		sdk_lost_strategy
g_config_api_entry_cfg_enable_push_mission_status	0		g_config_api_entry_cfg_enable_push_mission_status		g_config_api_entry_cfg_enable_push_mission_status
g_config_api_entry_cfg_sdk_version_check_enable	0		g_config_api_entry_cfg_sdk_version_check_enable	< * >	
sdk_data_type_acc	0		sdk_data_type_acc		sdk_data_type_acc
sdk_data_type_gyro	0		sdk_data_type_gyro		sdk_data_type_gyro
sdk_data_type_alti	0		sdk_data_type_alti		sdk_data_type_alti
sdk_data_type_height	0		sdk_data_type_height		sdk_data_type_height
g_config_api_entry_cfg_pos_data_type	0		g_config_api_entry_cfg_pos_data_type		g_config_api_entry_cfg_pos_data_type
sdk_timestamp	0		sdk_timestamp		sdk_timestamp
sdk_q	0		sdk_q		sdk_q
sdk_acc_ground	0		sdk_acc_ground		sdk_acc_ground
sdk_vel_ground	0		sdk_vel_ground		sdk_vel_ground
sdk_angular_vel	0		sdk_angular_vel		sdk_angular_vel
sdk_pos	0		sdk_pos		sdk_pos
sdk_widget_gps	0		sdk_widget_gps		sdk_widget_gps
sdk_widget_rtk	0		sdk_widget_rtk		sdk_widget_rtk
sdk_mag	0		sdk_mag		sdk_mag
sdk_rc	0		sdk_rc		sdk_rc
sdk_gimbal_q	0		sdk_gimbal_q		sdk_gimbal_q
sdk_fly_status	0		sdk_fly_status		sdk_fly_status
sdk_bat_level	0		sdk_bat_level		sdk_bat_level
sdk_ctrl_device	0		sdk_ctrl_device		sdk_ctrl_device
g_config_api_entry_cfg_std_msg_frq[14]	0		g_config_api_entry_cfg_std_msg_frq[14]		g_config_api_entry_cfg_std_msg_frq[14]
g_config_api_entry_cfg_std_msg_frq[15]	0		g_config_api_entry_cfg_std_msg_frq[15]		g_config_api_entry_cfg_std_msg_frq[15]
g_config_misc_cfg_forearm_led_ctrl	255		g_config_misc_cfg_forearm_led_ctrl		g_config_misc_cfg_forearm_led_ctrl
mounting_type	0		mounting_type		mounting_type
g_config_misc_cfg_gps_signature_valid_check	1		g_config_misc_cfg_gps_signature_valid_check	< * >	
g_config_misc_cfg_fsm_no_gnd_state_en	0		g_config_misc_cfg_fsm_no_gnd_state_en		g_config_misc_cfg_fsm_no_gnd_state_en
g_config_misc_cfg_compass_imu_misalign_check_en	0		g_config_misc_cfg_compass_imu_misalign_check_en		g_config_misc_cfg_compass_imu_misalign_check_en
g_config_misc_cfg_hit_ground_adj_comp_fltr_en	0		g_config_misc_cfg_hit_ground_adj_comp_fltr_en		g_config_misc_cfg_hit_ground_adj_comp_fltr_en
SIM_FLY_LIMIT_ENABLE	0		SIM_FLY_LIMIT_ENABLE		SIM_FLY_LIMIT_ENABLE
g_config_airport_limit_cfg_cfg_sim_disable_limit	1		g_config_airport_limit_cfg_cfg_sim_disable_limit		g_config_airport_limit_cfg_cfg_sim_disable_limit
g_config_airport_limit_cfg_cfg_1860_limit_switch	0		g_config_airport_limit_cfg_cfg_1860_limit_switch	< * >	
g_config_whitelist_cfg_cfg_disable_in_sim	1		g_config_whitelist_cfg_cfg_disable_in_sim	< * >	
imu0_x	24		imu0_x		imu0_x
imu0_y	0		imu0_y		imu0_y
imu0_z	0		imu0_z		imu0_z
gps0_x	-58		gps0_x		gps0_x
gps0_y	0		gps0_y		gps0_y
gps0_z	-5		gps0_z		gps0_z
g_config_imu_gps[0]_mvo_offset_x	0		g_config_imu_gps[0]_mvo_offset_x		g_config_imu_gps[0]_mvo_offset_x
g_config_imu_gps[0]_mvo_offset_y	0		g_config_imu_gps[0]_mvo_offset_y		g_config_imu_gps[0]_mvo_offset_y
g_config_imu_gps[0]_mvo_offset_z	0		g_config_imu_gps[0]_mvo_offset_z		g_config_imu_gps[0]_mvo_offset_z
antenna_gps1_x	0		antenna_gps1_x		antenna_gps1_x
antenna_gps1_y	0		antenna_gps1_y		antenna_gps1_y
antenna_gps1_z	0		antenna_gps1_z		antenna_gps1_z
antenna_gps1_2_x	0		antenna_gps1_2_x		antenna_gps1_2_x
antenna_gps1_2_y	0		antenna_gps1_2_y		antenna_gps1_2_y
antenna_gps1_2_z	0		antenna_gps1_2_z		antenna_gps1_2_z
imu0_direction	0		imu0_direction		imu0_direction
imu1_x	20		imu1_x		imu1_x
imu1_y	10		imu1_y		imu1_y
imu1_z	20		imu1_z		imu1_z
gps1_x	0		gps1_x		gps1_x
